Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1722226,Sho‘rchi tumani,Шурчинский район,Shurchi district,Шўрчи тумани,88.4,90.6,93.0,95.0,96.8,99.8,102.3,104.3,106.9,109.3,111.9,114.6
1724,Sirdaryo viloyati,Сырдарьинская область,Syrdarya region,Сирдарё вилояти,380.0,386.6,393.5,399.5,406.1,413.2,421.4,428.7,437.5,446.4,454.9,463.3
1724401,Guliston shahri,Город Гулистан,Gulistan city,Гулистон шаҳри,42.5,42.9,43.5,44.0,44.3,44.6,45.3,45.6,46.7,48.1,49.7,51.1
1724410,Shirin shahri,Город Ширин,Shirin city,Ширин шаҳри,9.1,9.2,9.3,9.4,9.5,9.4,9.6,9.7,9.7,9.8,9.9,9.9
1724413,Yangiyer shahri,Город Янгиер,Yangier city,Янгийер шаҳри,19.0,19.5,19.9,20.3,20.8,21.2,21.7,22.2,22.8,23.6,24.2,24.8
1724206,Oqoltin tumani,Акалтынский район,Akaltyn  district,Оқолтин тумани,23.2,23.6,24.0,24.5,24.9,25.3,25.8,26.3,26.8,27.3,27.7,28.1
1724212,Boyovut tumani,Баяутский район,Bayaut district,Боёвут тумани,57.7,58.8,59.8,60.8,61.8,62.9,64.1,65.0,66.2,67.3,68.4,69.8
1724216,Sayxunobod tumani,Сайхунабадский район,Saykhunabad district,Сайхунобод тумани,34.9,35.5,36.2,36.7,37.4,38.0,38.6,39.3,40.1,40.9,41.4,41.8
1724220,Guliston tumani,Гулистанский район,Gulistan district,Гулистон тумани,32.4,33.0,33.5,33.9,34.7,35.7,36.7,37.5,38.4,39.3,40.2,40.9
1724226,Sardoba tumani,Сардобский район,Sardoba district,Сардоба тумани,29.0,29.5,30.1,30.6,31.3,31.9,32.4,33.0,33.7,34.2,34.7,35.3
1724228,Mirzaobod tumani,Мирзаабадский район,Mirzaabad district,Мирзаобод тумани,30.4,31.2,31.9,32.8,33.3,34.2,35.1,36.1,37.0,37.9,38.7,39.6
1724231,Sirdaryo tumani,Сырдарьинский район,Syrdarya district,Сирдарё тумани,58.4,59.4,60.5,61.1,62.0,63.0,64.4,65.4,66.5,67.7,68.9,70.0
1724235,Xovos tumani,Хавасский район,Khovos district,Ховос тумани,43.4,44.0,44.8,45.4,46.1,47.0,47.7,48.6,49.6,50.3,51.1,52.0
1727,Toshkent viloyati,Ташкентская область,Tashkent region,Тошкент вилояти,1365.9,1381.3,1398.0,1414.3,1429.5,1447.0,1467.7,1484.0,1465.8,1491.3,1520.2,1548.2
1727401,Nurafshon shahri,Город Нурафшон,Nurafshan city,Нурафшон шаҳри,0.0,0.0,0.0,0.0,24.0,24.2,24.5,25.8,26.5,27.2,28.2,28.9
